uni.name,Year,total.enroll,1stYear.enroll,total.attendCost,tuition&Fees,fin.Aid,federalGrants,localGrants,studentLoans,avg.debt,num.app,num.accepted
Boston University,2013-14,23904,3807,61446,44880,2235,588,138,1652,39166,NA,NA
Boston University,2012-13,23831,3877,59100,42994,2404,583,219,1846,37694,NA,NA
Boston University,2011-12,23609,4022,56842,41420,2429,526,175,1905,36150,NA,NA
Boston University,2010-11,23544,4409,54836,39864,2864,756,251,2303,36488,NA,NA
Boston University,2009-10,22955,4130,53000,38440,2647,721,276,2160,31809,NA,NA
Boston University,2008-09,23291,4131,51100,37050,2614,513,270,2123,30998,NA,NA
Boston University,2007-08,23346,4163,48900,35418,2750,475,285,2117,26586,NA,NA
Brandeis University,2013-14,3884,833,61070,45856,542,179,40,427,30848,NA,NA
Brandeis University,2012-13,3907,820,59050,44294,530,144,65,408,28647,NA,NA
Brandeis University,2011-12,3786,858,56416,41860,565,194,79,469,27906,NA,NA
Brandeis University,2010-11,3608,689,54003,40289,471,136,42,382,28531,NA,NA
Brandeis University,2009-10,3582,781,52054,38762,527,148,64,449,21351,NA,NA
Brandeis University,2008-09,3465,754,50148,37294,500,111,68,434,26078,NA,NA
Brandeis University,2007-08,3429,701,47310,35702,468,93,59,355,20095,NA,NA
Brown University,2013-14,6997,1542,60460,45612,1010,291,57,373,24300,15153,2258
Brown University,2012-13,6936,1536,58140,43758,982,367,49,321,24382,15268,2412
Brown University,2011-12,6930,1507,56150,42230,921,305,44,387,23521,16907,2463
Brown University,2010-11,6850,1499,54370,40820,955,257,68,364,20455,18313,2525
Brown University,2009-10,6741,1493,52030,38848,877,198,42,364,22468,19044,2577
Brown University,2008-09,6591,1548,50560,37718,952,265,44,353,21858,20630,2740
Brown University,2007-08,6489,1479,48660,36342,925,247,55,567,19390,24988,2708
Claremont McKenna College,2013-14,1332,337,62010,45625,165,54,28,67,23232,NA,NA
Claremont McKenna College,2012-13,1319,291,60065,44085,155,33,21,48,23273,NA,NA
Claremont McKenna College,2011-12,1319,305,57865,42240,149,32,22,53,23179,NA,NA
Claremont McKenna College,2010-11,1272,314,55330,40230,200,48,33,89,15936,NA,NA
Claremont McKenna College,2009-10,1248,282,52934,38510,120,57,22,22,10280,NA,NA
Claremont McKenna College,2008-09,1220,320,50990,37060,181,35,25,46,9259,NA,NA
Claremont McKenna College,2007-08,1140,268,48520,35190,166,35,29,116,10518,NA,NA
Colgate University,2013-14,3004,759,60050,46380,369,74,71,189,21405,NA,NA
Colgate University,2012-13,3007,756,57745,44640,312,91,54,147,18719,NA,NA
Colgate University,2011-12,3037,764,55570,42920,312,87,50,144,20751,NA,NA
Colgate University,2010-11,3018,850,54030,41870,325,95,59,148,19721,NA,NA
Colgate University,2009-10,2915,750,52880,40970,304,80,57,135,18629,NA,NA
Colgate University,2008-09,2928,738,51090,39545,284,113,156,195,19202,NA,NA
Colgate University,2007-08,2921,744,48710,37660,280,53,85,173,20164,NA,NA
Dartmouth College,2013-14,4725,1112,63279,46752,682,159,7,531,17171,11853,2099
Dartmouth College,2012-13,4646,1095,61398,45042,668,135,8,534,15660,11733,2143
Dartmouth College,2011-12,4679,1112,58638,42996,596,147,13,360,17825,12757,2150
Dartmouth College,2010-11,4684,1136,55386,40437,650,191,12,322,16615,13937,2150
Dartmouth College,2009-10,4613,1094,52973,38679,725,201,19,527,18712,14176,2165
Dartmouth College,2008-09,4566,1097,50547,36915,687,180,11,260,19081,16536,2190
Dartmouth College,2007-08,4600,1119,48236,35178,692,216,25,394,22126,18130,2184
Duke University,2013-14,7461,1730,61748,45376,814,233,61,534,20556,NA,NA
Duke University,2012-13,7299,1714,59528,43623,1097,255,50,669,18456,NA,NA
Duke University,2011-12,7284,1722,57325,41938,1188,261,282,502,19506,NA,NA
Duke University,2010-11,7277,1752,55150,40243,1078,332,192,616,21713,NA,NA
Duke University,2009-10,7199,1723,53035,38741,1092,248,293,549,21884,NA,NA
Duke University,2008-09,7325,1699,50925,37295,1008,248,234,518,23059,NA,NA
Duke University,2007-08,7458,1700,47975,35512,1000,149,183,615,24205,NA,NA
Florida International University,2013-14,53525,4304,22968,6496,3920,2210,2873,1705,NA,NA,NA
Florida International University,2012-13,51334,4124,23347,6417,3735,2200,2903,1867,17893,NA,NA
Florida International University,2011-12,49029,4164,22420,5678,3888,2256,3479,1182,17706,NA,NA
Florida International University,2010-11,44972,3693,21852,5102,3379,1912,3180,1023,17231,NA,NA
Florida International University,2009-10,41138,2737,21654,4580,2637,1134,2337,741,16026,NA,NA
Florida International University,2008-09,38721,2896,19762,3582,2611,992,2247,671,14912,NA,NA
Florida International University,2007-08,39864,3101,18558,3130,2876,1085,2437,715,10899,NA,NA
Furman University,2013-14,2988,755,57276,43164,724,87,152,265,25903,NA,NA
Furman University,2012-13,2878,694,55750,41532,595,96,172,223,27511,NA,NA
Furman University,2011-12,2902,785,53096,39560,694,92,210,263,26661,NA,NA
Furman University,2010-11,2863,686,50936,38088,614,110,189,260,26600,NA,NA
Furman University,2009-10,2889,655,49159,36656,571,111,200,263,26202,NA,NA
Furman University,2008-09,3038,753,47040,34588,641,83,240,258,27373,NA,NA
Furman University,2007-08,2865,699,42350,31560,563,54,207,214,24325,NA,NA
Georgetown University,2013-14,9061,1593,62179,44805,814,210,28,425,22464,NA,NA
Georgetown University,2012-13,9557,1568,59900,42870,829,220,23,412,24064,NA,NA
Georgetown University,2011-12,9526,1596,58125,41393,897,259,27,436,25540,NA,NA
Georgetown University,2010-11,9695,1570,56485,40203,909,283,47,482,28035,NA,NA
Georgetown University,2009-10,9410,1551,54954,39036,920,189,37,507,25315,NA,NA
Georgetown University,2008-09,9080,1571,54200,37947,910,212,34,493,25085,NA,NA
Georgetown University,2007-08,8757,1579,51466,35964,917,227,27,474,23333,NA,NA
Hamilton College,2013-14,2037,491,59590,46080,297,75,54,175,18941,NA,NA
Hamilton College,2012-13,2048,469,57420,44350,273,86,70,170,19426,NA,NA
Hamilton College,2011-12,2010,481,55270,42640,277,62,73,225,18568,NA,NA
Hamilton College,2010-11,1998,467,53560,41280,286,81,72,184,20262,NA,NA
Hamilton College,2009-10,2037,466,51660,39760,259,59,87,150,16982,NA,NA
Hamilton College,2008-09,2021,462,50210,38600,231,50,77,146,19466,NA,NA
Hamilton College,2007-08,1980,468,47900,36860,251,43,61,150,18259,NA,NA
Harvard University,2013-14,14618,1658,59950,42292,1196,281,61,119,15117,NA,NA
Harvard University,2012-13,14666,1665,57050,39966,1243,250,72,148,12560,20986,2056
Harvard University,2011-12,14495,1657,56000,39851,1267,306,64,177,13098,19750,2029
Harvard University,2010-11,14148,1670,53950,38415,1356,296,60,181,11780,22796,2074
Harvard University,2009-10,14317,1677,52000,37012,1376,435,72,195,10102,22753,2109
Harvard University,2008-09,14864,1666,50250,36173,1345,398,72,164,10871,22955,2058
Harvard University,2007-08,14172,1668,48550,34998,1049,431,80,358,10813,27462,1948
Loyola University Chicago,2013-14,11398,2497,51273,35573,2369,680,571,1541,31089,29112,2046
Loyola University Chicago,2012-13,11003,2001,49388,34578,1929,578,517,1375,34404,NA,NA
Loyola University Chicago,2011-12,11095,1928,47664,33294,1827,620,527,1306,36328,NA,NA
Loyola University Chicago,2010-11,10972,2060,46134,32114,1984,614,498,1436,NA,NA,NA
Loyola University Chicago,2009-10,11159,2074,44341,30656,1959,588,516,1505,NA,NA,NA
Loyola University Chicago,2008-09,11414,2175,42776,29486,2018,485,453,1519,35526,NA,NA
Loyola University Chicago,2007-08,11286,2031,40798,27966,1887,481,452,1542,32134,NA,NA
Northwestern University,2013-14,11080,2040,63193,45527,1283,315,144,631,19864,NA,NA
Northwestern University,2012-13,11327,2037,60840,43779,1285,286,122,718,NA,NA,NA
Northwestern University,2011-12,11076,2107,58829,41983,1358,303,129,752,NA,NA,NA
Northwestern University,2010-11,10802,2128,56406,40223,1428,309,153,825,NA,NA,NA
Northwestern University,2009-10,10636,2128,53983,38463,1242,262,147,903,NA,NA,NA
Northwestern University,2008-09,9769,2078,52120,37125,1127,138,89,690,20802,NA,NA
Northwestern University,2007-08,9844,1981,49779,35429,1087,178,115,688,19808,NA,NA
Princeton University,2013-14,5502,1284,55832,40170,796,191,20,156,6600,15725,1570
Princeton University,2012-13,5341,1357,54780,39537,818,186,17,121,5552,13695,1631
Princeton University,2011-12,5240,1298,53934,37865,785,162,3,109,5096,16516,1807
Princeton University,2010-11,5216,1312,52715,36640,782,145,7,126,5330,17563,1792
Princeton University,2009-10,5297,1315,51260,35340,790,140,14,132,5225,18942,1791
Princeton University,2008-09,4985,1243,49830,34290,716,124,18,146,4957,21262,1976
Princeton University,2007-08,4907,1242,47975,33000,694,117,83,156,5955,21964,2150
